domain	last_responding_IP	server_ip	block_level	crawler_block_type	traceroute_block_type	block_status_code	lri_country	srv_country	lri_location_category	lri_comparison	lri_distance	merged_hops	min_diff	ref_ip	cdn_str	final_label
ip138.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
desenio.pt	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
ucarecdn.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
secondlife.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
lilly.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
7y7.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
nrk.no	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
back-door.it	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
pandahelp.vip	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
q2ebanking.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
abplive.in	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
3u.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
blockfi.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
weather.com.cn	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
yr.no	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
desenio.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
abplive.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
mtgarena.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
bradesco.com.br	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
people.com.cn	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
thewrap.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
people.cn	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
english.gov.cn	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
bioware.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
extra-imagens.com.br	110.93.252.190	115.186.131.201	HTTP	Blockpage	HTTP-TracerouteComplete	400-OTHER	PK	PK	IN_COUNTRY_OF_REQUEST	FROM_TEST	FAR_FROM_SERVER	1	3	23.37.36.146	CDN_True	HTTP-Censorship
anon.me	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
springcm.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
britepool.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
wahcricket.com	N/A	N/A	DNS	DNS-FalseResponse	DNS-FalseResponse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1	N/A	N/A	DNS-False-Response
technion.ac.il	128.139.188.1	132.68.238.50	DNS	DNS-Unresolved	DNS-Unresolved	N/A	IL	IL	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	3	N/A	N/A	DNS-Serverside-Blocking
greenearthhost.com	209.59.157.224	67.227.130.83	DNS	DNS-Unresolved	DNS-Unresolved	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	2	N/A	N/A	DNS-Serverside-Blocking
tpt.org	146.57.252.181	156.98.11.1	DNS	DNS-Unresolved	DNS-Unresolved	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	2	N/A	N/A	DNS-Serverside-Blocking
ufam.edu.br	200.143.255.137	200.129.163.3	DNS	DNS-Unresolved	DNS-Unresolved	N/A	BR	BR	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	3	N/A	N/A	DNS-Serverside-Blocking
hcverma.in	180.179.197.130	202.66.174.169	DNS	DNS-Unresolved	DNS-Unresolved	N/A	IN	ERR	ELSEWHERE	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	N/A	DNS-Serverside-Blocking
cmgdigital.com	68.1.0.34	169.137.232.110	DNS	DNS-Unresolved	DNS-Unresolved	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	FAR_FROM_SERVER	0	4	N/A	N/A	DNS-Middlebox-Blocking-Other
supercuts.com	207.153.0.8	204.63.160.28	DNS	DNS-Unresolved	DNS-Unresolved	N/A	CA	US	ELSEWHERE	FROM_CONTROL	CLOSE_TO_SERVER	0	3	N/A	N/A	DNS-Serverside-Blocking
thecollectionshop.com	12.123.6.37	12.54.222.10	DNS	DNS-Unresolved	DNS-Unresolved	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	N/A	DNS-Serverside-Blocking
indichords.com	180.179.237.14	103.235.106.35	DNS	DNS-Unresolved	DNS-Unresolved	N/A	IN	IN	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	N/A	DNS-Serverside-Blocking
gogvo.com	24.175.32.145	97.79.236.55	DNS	DNS-Unresolved	DNS-Unresolved	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	FAR_FROM_SERVER	0	4	N/A	N/A	DNS-Middlebox-Blocking-Other
connectedsoundsites.com	209.59.157.224	67.227.172.138	DNS	DNS-Unresolved	DNS-Unresolved	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	2	N/A	N/A	DNS-Serverside-Blocking
anyalarre.com	209.59.157.224	72.52.147.20	DNS	DNS-Unresolved	DNS-Unresolved	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	2	N/A	N/A	DNS-Serverside-Blocking
two2prosper.com	24.175.32.145	97.79.236.55	DNS	DNS-Unresolved	DNS-Unresolved	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	FAR_FROM_SERVER	0	4	N/A	N/A	DNS-Middlebox-Blocking-Other
tdstelecom.com	64.50.228.142	216.170.242.120	DNS	DNS-Unresolved	DNS-Unresolved	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	FAR_FROM_SERVER	0	4	N/A	N/A	DNS-Middlebox-Blocking-Other
thepowderroom.shop	209.59.157.244	69.16.212.17	DNS	DNS-Unresolved	DNS-Unresolved	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	2	N/A	N/A	DNS-Serverside-Blocking
logicmastersindia.com	94.23.122.244	51.81.22.192	DNS	DNS-Unresolved	DNS-Unresolved	N/A	FR	GB	ELSEWHERE	FROM_CONTROL	FAR_FROM_SERVER	0	6	N/A	N/A	DNS-Middlebox-Blocking-Other
virginia.gov	204.148.243.198	166.67.65.169	DNS	DNS-Unresolved	DNS-Unresolved	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	2	N/A	N/A	DNS-Serverside-Blocking
civilserviceindia.com	14.142.23.68	45.64.106.83	DNS	DNS-Unresolved	DNS-Unresolved	N/A	IN	IN	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	2	N/A	N/A	DNS-Serverside-Blocking
maxket.org	116.119.57.56	103.129.99.26	DNS	DNS-Unresolved	DNS-Unresolved	N/A	IN	ERR	ELSEWHERE	FROM_CONTROL	CLOSE_TO_SERVER	0	3	N/A	N/A	DNS-Serverside-Blocking
auczar.com	182.71.28.218	103.14.122.46	TCP	NoResponse	TCP-PacketDrop	N/A	IN	IN	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	3	N/A	CDN_False	TCP-Serverside-Blocking
cttexpresso.pt	185.2.87.26	62.28.56.1	TCP	NoResponse	TCP-PacketDrop	N/A	PT	PT	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	TCP-Serverside-Blocking
prairiestate.edu	64.150.56.134	66.158.49.13	TCP	NoResponse	TCP-PacketDrop	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	TCP-Serverside-Blocking
superpages.com	64.125.25.100	151.138.22.50	TCP	NoResponse	TCP-PacketDrop	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	FAR_FROM_SERVER	0	7	N/A	CDN_False	TCP-Middlebox-Blocking-Other
dagostinoferrari.com.ar	110.93.255.168	200.58.111.37	TCP	NoResponse	TCP-PacketDrop	N/A	PK	AR	IN_COUNTRY_OF_REQUEST	FROM_TEST	FAR_FROM_SERVER	0	3	192.230.83.244	CDN_False	TCP-Censorship
afneurope.net	204.148.73.194	63.110.106.104	TCP	NoResponse	TCP-PacketDrop	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_True	TCP-Serverside-Blocking
daxiv.com	58.65.165.42	216.239.34.21	TCP	Blockpage	TCP-PacketDrop	500-OTHER	PK	US	IN_COUNTRY_OF_REQUEST	FROM_TEST	FAR_FROM_SERVER	0	4	104.18.191.77	CDN_True	TCP-Censorship
vintag.es	58.65.165.42	216.239.34.21	TCP	RST	TCP-PacketDrop	N/A	PK	US	IN_COUNTRY_OF_REQUEST	FROM_TEST	FAR_FROM_SERVER	0	4	104.18.191.77	CDN_True	TCP-Censorship
shadowserver.org	58.65.165.42	72.52.15.18	TCP	NoResponse	TCP-PacketDrop	N/A	PK	US	IN_COUNTRY_OF_REQUEST	FROM_TEST	FAR_FROM_SERVER	0	4	192.0.66.144	CDN_False	TCP-Censorship
indiaonline.me	202.164.148.193	202.88.241.29	TCP	NoResponse	TCP-PacketDrop	N/A	IN	IN	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	TCP-Serverside-Blocking
