domain	last_responding_IP	server_ip	block_level	crawler_block_type	traceroute_block_type	block_status_code	lri_country	srv_country	lri_location_category	lri_comparison	lri_distance	merged_hops	min_diff	ref_ip	cdn_str	final_label
telebucaramanga.net.co	94.142.99.230	201.221.151.93	DNS	DNS-Unresolved	DNS-Unresolved	N/A	ES	CO	ELSEWHERE	FROM_CONTROL	FAR_FROM_SERVER	0	5	N/A	N/A	DNS-Middlebox-Blocking-Other
uticacsd.org	67.216.7.9	168.170.14.90	DNS	DNS-Unresolved	DNS-Unresolved	N/A	US	US	IN_COUNTRY_OF_REQUEST	FROM_CONTROL	CLOSE_TO_SERVER	0	2	N/A	N/A	DNS-Serverside-Blocking
kustar.ac.ae	154.54.40.110	192.58.29.44	TCP	NoResponse	TCP-PacketDrop	N/A	US	AE	ELSEWHERE	FROM_TEST	FAR_FROM_SERVER	0	3	74.120.19.26	CDN_False	TCP-Censorship
ku.ac.ae	154.54.40.110	192.58.29.44	TCP	NoResponse	TCP-PacketDrop	N/A	US	AE	ELSEWHERE	FROM_TEST	FAR_FROM_SERVER	0	3	74.120.19.26	CDN_False	TCP-Censorship
szabist.ac.ae	154.54.40.106	91.73.236.195	TCP	NoResponse	TCP-PacketDrop	N/A	US	AE	ELSEWHERE	FROM_TEST	FAR_FROM_SERVER	0	3	74.120.19.26	CDN_False	TCP-Censorship
nadra.gov.pk	149.14.125.90	115.186.143.222	HTTP	NoResponse	HTTP-NoTrace	N/A	US	PK	ELSEWHERE	LRI_NOT_FOUND_ANYWHERE	N/A	N/A	-1	N/A	CDN_True	Inconclusive
eluta.ca	69.167.128.137	67.227.241.204	TCP	NoResponse	TCP-PacketDrop	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	TCP-Serverside-Blocking
whois.com	69.167.128.145	64.91.226.82	TCP	NoResponse	TCP-PacketDrop	N/A	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	TCP-Serverside-Blocking
supereva.it	151.7.80.67	213.209.17.209	HTTP	NoResponse	HTTP-TracerouteComplete	N/A	IT	IT	SAME_AS_SERVER	LRI_NOT_FOUND_ANYWHERE	N/A	N/A	-1	N/A	CDN_True	Inconclusive
libero.it	151.7.80.67	213.209.17.209	HTTP	NoResponse	HTTP-NoTrace	N/A	IT	IT	SAME_AS_SERVER	LRI_NOT_FOUND_ANYWHERE	N/A	N/A	-1	N/A	CDN_True	Inconclusive
adview.online	66.198.70.2	104.18.63.48	HTTP	Blockpage	HTTP-TracerouteComplete	200-UNSUPPORTED_BROWSER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
g2crowd.com	66.198.70.2	104.18.26.190	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
thememazing.com	66.198.70.2	104.24.102.51	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
ustreamix.su	66.198.70.2	104.18.54.175	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
onlinefreecourse.net	66.198.70.2	104.27.169.87	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
onlinecoursebay.com	66.198.70.2	104.24.104.101	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
techsabir.com	173.208.126.25	162.210.196.173	HTTP	Blockpage	HTTP-TracerouteComplete	429-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	0	N/A	CDN_False	HTTP-Serverside-Blocking
darkmp3.su	216.6.57.6	104.18.45.110	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	104.18.191.77	CDN_True	HTTP-Serverside-Blocking
yabancidizi.vip	216.6.87.42	104.26.13.19	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER:CLOUDFLARE_Security	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	104.26.12.102	CDN_True	HTTP-Serverside-Blocking
origamitutorials.com	38.32.13.210	143.95.151.22	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	0	N/A	CDN_False	HTTP-Serverside-Blocking
azureegde.net	209.59.157.243	67.227.226.240	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
diycraftsdecors.com	209.59.157.243	67.227.226.240	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
vividseats.com	66.110.96.89	23.5.224.180	HTTP	Blockpage	HTTP-TracerouteComplete	405-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	23.10.142.217	CDN_True	HTTP-Serverside-Blocking
gozaida.com	216.239.62.171	216.239.32.21	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	34.120.10.192	CDN_True	HTTP-Serverside-Blocking
