domain	last_responding_IP	server_ip	block_level	crawler_block_type	traceroute_block_type	block_status_code	lri_country	srv_country	lri_location_category	lri_comparison	lri_distance	merged_hops	min_diff	ref_ip	cdn_str	final_label
darkmp3.su	216.6.57.6	104.18.45.110	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	104.18.191.77	CDN_True	HTTP-Serverside-Blocking
yabancidizi.vip	216.6.87.42	104.26.13.19	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER:CLOUDFLARE_Security	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	104.26.12.102	CDN_True	HTTP-Serverside-Blocking
origamitutorials.com	38.32.13.210	143.95.151.22	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	0	N/A	CDN_False	HTTP-Serverside-Blocking
azureegde.net	209.59.157.243	67.227.226.240	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
diycraftsdecors.com	209.59.157.243	67.227.226.240	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
vividseats.com	66.110.96.89	23.5.224.180	HTTP	Blockpage	HTTP-TracerouteComplete	405-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	23.10.142.217	CDN_True	HTTP-Serverside-Blocking
gozaida.com	216.239.62.171	216.239.32.21	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	34.120.10.192	CDN_True	HTTP-Serverside-Blocking
jackwithyou.in	216.239.62.171	216.239.32.21	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	34.120.10.192	CDN_True	HTTP-Serverside-Blocking
technicalking.co	173.208.126.21	162.210.196.171	HTTP	Blockpage	HTTP-TracerouteComplete	429-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	0	N/A	CDN_False	HTTP-Serverside-Blocking
darkville.tv	66.198.70.2	172.67.201.2	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER:ABUSE_BLOCKED-CAPTCHA	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
priceline.com.au	180.87.98.37	45.60.81.222	HTTP	Blockpage	HTTP-TracerouteComplete	200-UNCAUGHT: Incapsula incident	SG	US	ELSEWHERE	FROM_TEST	CLOSE_TO_SERVER	0	1	107.154.251.12	CDN_True	HTTP-Serverside-Blocking
betwinner1.com	5.254.68.202	213.183.44.9	HTTP	Blockpage	HTTP-TracerouteComplete	200-UNCAUGHT:GEO_BLOCKED-Other	RO	RU	ELSEWHERE	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
braquopronos.com	66.198.70.2	172.67.214.169	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER:ABUSE_BLOCKED-BV	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
howtobetrendy.com	66.198.70.2	172.67.220.240	HTTP	NoResponse	HTTP-TracerouteComplete	N/A	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
gupshupcorner.com	66.198.70.2	104.24.100.157	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER:ABUSE_BLOCKED-BV	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
photonpro.co.uk	172.253.71.165	34.102.136.180	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	34.120.10.192	CDN_True	HTTP-Serverside-Blocking
